data,timestamp
942745.650,1739527602.387047
950133.757,1739527602.898827
979816.987,1739527603.461864
1046309.954,1739527603.922519
1088514.931,1739527604.433576
1090575.801,1739527604.894822
1064058.524,1739527605.406608
990294.373,1739527605.918521
942714.858,1739527606.378555
938327.381,1739527606.889417
924348.214,1739527607.401234
894578.297,1739527607.912498
886504.348,1739527608.424341
914190.247,1739527608.885102
930564.647,1739527609.397571
928289.931,1739527609.908826
942014.989,1739527610.420531
982131.754,1739527610.932283
995518.307,1739527611.392173
964816.621,1739527611.903839
916498.283,1739527612.415479
839175.983,1739527612.875528
749112.591,1739527613.386518
638110.863,1739527613.898395
570572.164,1739527614.410994
574442.079,1739527614.922528
605271.224,1739527615.435122
680348.741,1739527615.895696
750827.196,1739527616.406976
813735.863,1739527616.918711
880149.714,1739527617.430807
952314.529,1739527617.891333
1005143.021,1739527618.403451
1026131.693,1739527618.915068
1034559.039,1739527619.375346
1022290.046,1739527619.887393
945820.595,1739527620.399040
763702.288,1739527620.911035
626798.993,1739527621.371526
564081.751,1739527621.933840
528370.650,1739527622.394433
536926.121,1739527622.905857
514428.122,1739527623.418810
441055.181,1739527623.879773
434411.482,1739527624.390970
537175.926,1739527624.903114
652091.449,1739527625.415446
786914.130,1739527625.927262
900005.895,1739527626.387173
977465.405,1739527626.899026
1013165.007,1739527627.410852
980271.224,1739527627.923025
956872.999,1739527628.435277
949067.101,1739527628.895361
982555.581,1739527629.457495
1083838.804,1739527629.917129
1137410.355,1739527630.428745
1112542.449,1739527630.889288
1054382.040,1739527631.401161
941517.449,1739527631.912646
878791.152,1739527632.424910
898265.210,1739527632.936920
906565.844,1739527633.448381
896549.440,1739527633.858184
886326.738,1739527634.420505
875736.550,1739527634.881385
796936.785,1739527635.445363
606351.534,1739527635.905589
489120.256,1739527636.417233
491648.731,1739527636.928641
527202.059,1739527637.439599
616691.049,1739527637.900355
683644.918,1739527638.412208
713765.968,1739527638.872229
764511.848,1739527639.383703
848978.166,1739527639.895343
899403.464,1739527640.458673
894101.602,1739527640.868007
918769.909,1739527641.380225
992472.171,1739527641.891759
1038025.172,1739527642.455193
1037432.895,1739527642.915923
1049729.062,1739527643.427329
1083151.292,1739527643.887761
1103309.584,1739527644.399864
1101731.227,1739527644.911752
1106600.046,1739527645.423953
1122002.629,1739527645.884628
1122310.268,1739527646.395893
1097882.895,1739527646.907965
1051627.632,1739527647.419335
969621.167,1739527647.930833
917359.961,1739527648.443104
913716.690,1739527648.902926
900399.600,1739527649.414185
871283.826,1739527649.926199
856719.851,1739527650.438309
865899.577,1739527650.898869
852607.274,1739527651.410654
